Name;Console;ID
Devilman;NES;2889
Dezaemon;NES;244
Die-Hard;NES;75783
Dig-Dug-II--Namco-Museum-Archives-Vol-2-;NES;75788
Dig-Dug-II-Trouble-in-Paradise--Virtual-Console-;NES;75789
Digger-T.-Rock-The-Legend-of-the-Lost-City;NES;75790
Doki!-Doki!-Amusement-Park;NES;252
Donkey-Kong;NES;257
Donkey-Kong--GameCube-Edition-;NES;75806
Donkey-Kong-3;NES;258
Donkey-Kong-3--GameCube-Edition-;NES;75810
Donkey-Kong-Classics;NES;254
Donkey-Kong-Jr.;NES;256
Donkey-Kong-Jr.--GameCube-Edition-;NES;75812
Donkey-Kong-Jr.-Math;NES;255
Donkey-Kong-Original-Edition--3DS-Virtual-Console-;NES;75808
Donkey-Kong-Original-Edition--Wii-Virtual-Console---NTSC-;NES;75809
Doraemon;NES;261
Doraemon-The-Revenge-of-Giga-Zombie;NES;259
Double-Dragon;NES;75824
Double-Dragon--Virtual-Console-;NES;75825
Double-Dragon-II-The-Revenge;NES;75827
Double-Dragon-III-The-Sacred-Stones;NES;75828
Double-Dribble;NES;75829
Dr.-Mario;NES;75835
Dragon-Ball-Z-Gaiden-Plan-to-Eliminate-the-Saiyans;NES;2891
Dragon-Ball-Z-Gaiden-Plan-to-Eliminate-the-Saiyans;NES;2892
Dragon-Ball-Z-III-Killer-Androids;NES;2894
Dragon-Ball-Z-Assault-of-the-Saiyans;NES;274
Dragon-Ball-Dragon-Mystery;NES;270
Dragon-Buster-II-Seal-of-Darkness;NES;2897
Dragon-Buster-II-Yami-no-Fuuin--Namco-Museum-Archives-Vol-2-;NES;75847
Dragon-Scroll-Resurrection-of-the-Demon-Dragon;NES;2899
Dragon-Slayer-Jr.-Romancia;NES;2903
Dragon-Spirit-The-New-Legend--Namco-Museum-Archives-Vol-1-;NES;75859
Dragons-Lair;NES;75864
Dream-Penguin-Adventure-The-Quest-for-Penkos-Heart;NES;284
Dropzone;NES;75871
Duck-Hunt;NES;288
DuckTales;NES;75879
DuckTales-2;NES;75881
Dynablaster;NES;75892
EarthBound-Beginnings--Virtual-Console-;NES;296
Egypt;NES;297
Eliminator-Boat-Duel;NES;75901
Elite;NES;75902
Elysion;NES;2905
Elysion;NES;2908
Eric-Cantona-Football-Challenge-Goal!-2;NES;75910
Esper-Dream-2;NES;2910
Excitebike;NES;75921
Excitebike--Virtual-Console-;NES;75923
F-15-Strike-Eagle;NES;75940
F-15-Strike-Eagle;NES;75943
F-15-Strike-Eagle;NES;75942
Famicom-Wars;NES;2912
Faxanadu;NES;76002
Felix-the-Cat--Hudson-;NES;76006
Ferrari-Grand-Prix-Challenge;NES;76009
Festers-Quest;NES;76010
Final-Fantasy-II;NES;317
Final-Fantasy-III;NES;319
Final-Mission;NES;2914
Fire-Bird;NES;323
Fire-Emblem-Gaiden;NES;325
Fist-of-the-North-Star;NES;2916
Flintstones-The-The-Rescue-of-Dino-&-Hoppy;NES;76042
Flintstones-The-The-Surprise-at-Dinosaur-Peak;NES;76044
Formula-1-Sensation;NES;76053
Four-Players-Tennis;NES;76054
Future-Soldier-Lios;NES;343
Fuzzical-Fighter;NES;345
Galaga;NES;76070
Galaxy-5000-Racing-in-the-51st-Century;NES;76077
Ganbare-Goemon;NES;351
Ganbare-Goemon-2;NES;2918
Gargoyles-Quest-II;NES;76096
Gauntlet-II;NES;76097
George-Foremans-KO-Boxing;NES;76109
Getsu-Fuuma-Den;NES;360
Ghostn-Goblins;NES;76115
Ghostbusters-II;NES;76118
Glory-of-Heracles-II-The-Titans-Downfall;NES;369
Goal!;NES;76129
Godzilla-Monster-of-Monsters!;NES;76133
Golf;NES;76139
Golf--GameCube-Edition-;NES;76137
Goonies-II-The;NES;76151
Gorbys-Pipeline;NES;2920
Gradius;NES;76158
Gravity-Armor-Metal-Storm;NES;2924
Great-Maze-The-Master-of-the-Maze;NES;2926
Gremlins-2-The-New-Batch;NES;76172
Gryzor;NES;386
Guardian-Legend-The;NES;76179
Guerrilla-War;NES;76181
Gumshoe;NES;390
Gun.Smoke;NES;76186
Gyromite;NES;393
Hammerin-Harry;NES;76194
Hello-Kitty-World;NES;2927
Hello-Kitty-World;NES;401
Hello-Kittys-Flower-Shop;NES;399
Higemaru-Seven-Islands-Adventure;NES;2928
High-Speed;NES;76226
Hirake!-Ponkikki;NES;2932
Hogans-Alley;NES;404
Holy-Diver;NES;2936
Home-Alone-2-Lost-in-New-York;NES;76248
Hook;NES;76252
Hoops;NES;76254
Hotman;NES;411
Hudson-Hawk;NES;76262
Hunt-for-Red-October-The;NES;76265
Im-Kid-Dracula!;NES;422
Ice-Climber;NES;416
Ice-Hockey;NES;76278
Ice-Hockey--Virtual-Console-;NES;76279
Ikari-Warriors;NES;76295
Incredible-Crash-Dummies-The;NES;76304
Indiana-Jones-and-the-Last-Crusade;NES;76305
Iron-Tank-The-Invasion-of-Normandy;NES;76311
IronSword-Wizards-&-Warriors-II;NES;76312
Isolated-Warrior;NES;76318
Ivan-Ironman-Stewarts-Super-Off-Road;NES;76320
J-League-Winning-Goal;NES;4393
Jack-Nicklaus-Greatest-18-Holes-of-Major-Championship-Golf;NES;76322
Jackie-Chans-Action-Kung-Fu;NES;76325
James-Bond-Jr;NES;76329
Jesus-The-Terrifying-Bio-Monster;NES;4397
Jetsons-The-Cogswells-Caper;NES;76339
Jimmy-Connors-Tennis;NES;76344
Joe-&-Mac-Caveman-Ninja;NES;76345
Journey-to-Silius;NES;76349
Joy-Mech-Fight;NES;451
Jungle-Book-The;NES;76361
Jungle-Book-The--Disney-Classic-Games-;NES;76362
Jurassic-Park;NES;76364
Just-Breed;NES;4399
Kabuki-Quantum-Fighter;NES;76370
Kantaro-the-Pyros-Journey-Across-the-Toukaido;NES;4973
Kantaro-the-Pyros-Journey-Across-the-Toukaido;NES;4975
Karnov;NES;4977
Kero-Kero-Keroppis-Big-Adventure;NES;459
Kero-Kero-Keroppis-Great-Big-Adventure-2-Trouble-in-Donut-Pond;NES;461
Keroppi-&-Keroleens-Splash-Bomb!;NES;463
Kick-Off;NES;76400
